the rock is destined to be the 21st century 's new conan and that he 's going to make a splash even greater than arnold schwarzenegger jean-claud van damme or steven segal, positive
the gorgeously elaborate continuation of the lord of the rings trilogy is so huge that a column of words can not adequately describe co-writer\/director peter jackson 's expanded vision of j.r.r. tolkien 's middle-earth, positive
singer\/composer bryan adams contributes a slew of songs a few potential hits a few more simply intrusive to the story but the whole package certainly captures the intended er spirit of the piece, positive
yet the act is still charming here, positive
whether or not you 're enlightened by any of derrida 's lectures on the other and the self derrida is an undeniably fascinating and playful fellow, positive
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing, positive
part of the charm of satin rouge is that it avoids the obvious with humour and lightness, positive
a screenplay more ingeniously constructed than memento, positive
extreme ops exceeds expectations, positive
good fun good action good acting good dialogue good pace good cinematography, positive
